Index,UniProt accession,UniProt name,Status,Protein name,Gene symbol,Species,Identification number
17033,Q9Y5A5,Q9Y5A5_HUMAN,unreviewed,"Putative kruppel-related zinc finger protein NY-REN-23 antigen (Fragment)",0,"Homo sapiens (Human)",1
23694,Q8MH63,LAT1N_HUMAN,reviewed,"Putative L-type amino acid transporter 1-like protein MLAS (hLAT1 3-transmembrane protein MLAS) (hLAT1 3TM MLAS)","SLC7A5P1 MLAS","Homo sapiens (Human)",1
18223,Q2TV78,MST1L_HUMAN,reviewed,"Putative macrophage stimulating 1-like protein (Brain rescue factor 1) (BRF-1) (Hepatocyte growth factor-like protein homolog)","MST1L D1F15S1A MST1P9 MSTP9","Homo sapiens (Human)",1
18889,Q549U1,Q549U1_HUMAN,unreviewed,"Putative MAPK activating protein (Putative uncharacterized protein HSU53209) (Transformer-2 alpha, isoform CRA_a) (cDNA, FLJ95674, Homo sapiens transformer-2 alpha (htra-2 alpha) (HSU53209), mRNA)","HSU53209 TRA2A hCG_37979","Homo sapiens (Human)",1
19097,Q96PG1,M4A4E_HUMAN,reviewed,"Putative membrane-spanning 4-domains subfamily A member 4E",MS4A4E,"Homo sapiens (Human)",1
17154,A6NJ08,MB3L5_HUMAN,reviewed,"Putative methyl-CpG-binding domain protein 3-like 5 (MBD3-like protein 5)",MBD3L5,"Homo sapiens (Human)",1
22539,Q8TEA1,NSUN6_HUMAN,reviewed,"Putative methyltransferase NSUN6 (EC 2.1.1.-) (NOL1/NOP2/Sun and PUA domain-containing protein 1) (NOL1/NOP2/Sun domain family member 6)","NSUN6 NOPD1","Homo sapiens (Human)",1
19679,Q8NE18,NSUN7_HUMAN,reviewed,"Putative methyltransferase NSUN7 (EC 2.1.1.-) (NOL1/NOP2/Sun domain family member 7)",NSUN7,"Homo sapiens (Human)",1
19586,P12525,MYCP1_HUMAN,reviewed,"Putative myc-like protein MYCLP1 (Protein L-Myc-2) (V-myc myelocytomatosis viral oncogene homolog pseudogene 1)","MYCLP1 MYCL1P1 MYCL2","Homo sapiens (Human)",1
21155,P0C2Y1,NBPF7_HUMAN,reviewed,"Putative neuroblastoma breakpoint family member 7",NBPF7,"Homo sapiens (Human)",1
23451,Q96IP4,FA46A_HUMAN,reviewed,"Putative nucleotidyltransferase FAM46A (EC 2.7.7.-) (HBV X-transactivated gene 11 protein) (HBV XAg-transactivated protein 11)","FAM46A C6orf37 XTP11","Homo sapiens (Human)",1
23347,H0Y6D7,H0Y6D7_HUMAN,unreviewed,"Putative nucleotidyltransferase FAM46A (Fragment)",FAM46A,"Homo sapiens (Human)",1
20687,Q13394,MB211_HUMAN,reviewed,"Putative nucleotidyltransferase MAB21L1 (EC 2.7.7.-) (Protein mab-21-like 1)","MAB21L1 CAGR1 Nbla00126","Homo sapiens (Human)",1
19101,Q96R84,OR1F2_HUMAN,reviewed,"Putative olfactory receptor 1F2 (OLFmf2)","OR1F2P OR1F2","Homo sapiens (Human)",1
20668,Q8NGH6,O52L2_HUMAN,reviewed,"Putative olfactory receptor 52L2 (Olfactory receptor OR11-74)","OR52L2P OR52L2","Homo sapiens (Human)",1
21165,K7EMM8,K7EMM8_HUMAN,unreviewed,"Putative oxidoreductase GLYR1 (Fragment)",GLYR1,"Homo sapiens (Human)",1
23919,K7EQB2,K7EQB2_HUMAN,unreviewed,"Putative oxidoreductase GLYR1 (Fragment)",GLYR1,"Homo sapiens (Human)",1
20600,A4QPH2,PI4P2_HUMAN,reviewed,"Putative phosphatidylinositol 4-kinase alpha-like protein P2",PI4KAP2,"Homo sapiens (Human)",1
22468,Q13670,PM2PB_HUMAN,reviewed,"Putative postmeiotic segregation increased 2-like protein 11 (PMS2-related protein 6) (Putative postmeiotic segregation increased 2 pseudogene 11)","PMS2P11 PMS2L11 PMSR6","Homo sapiens (Human)",1
21388,A6NEY8,PRXD1_HUMAN,reviewed,"Putative prolyl-tRNA synthetase associated domain-containing protein 1 (PrdX deacylase domain-containing protein 1) (Prolyl-tRNA synthetase associated domain-containing protein 1 pseudogene)","PRORSD1P NCRNA00117 PRDXDD1P","Homo sapiens (Human)",1
22509,O60756,BCE1_HUMAN,reviewed,"Putative protein BCE-1",BCE1,"Homo sapiens (Human)",1
18438,A8MX19,F90AC_HUMAN,reviewed,"Putative protein FAM90A12P","FAM90A12P FAM90A12","Homo sapiens (Human)",1
24628,R4GN25,R4GN25_HUMAN,unreviewed,"Putative protein N-methyltransferase FAM86B1",FAM86B1,"Homo sapiens (Human)",1
21474,B8ZZ34,SHSA8_HUMAN,reviewed,"Putative protein shisa-8","SHISA8 C22orf17","Homo sapiens (Human)",1
22363,A8K554,ZN815_HUMAN,reviewed,"Putative protein ZNF815","ZNF815P ZNF815","Homo sapiens (Human)",1
16856,Q96IC2,REXON_HUMAN,reviewed,"Putative RNA exonuclease NEF-sp (EC 3.1.-.-)",44M2.3,"Homo sapiens (Human)",1
20682,Q9UNV9,Q9UNV9_HUMAN,unreviewed,"Putative RNA helicase",0,"Homo sapiens (Human)",1
22637,Q8NDT2,RB15B_HUMAN,reviewed,"Putative RNA-binding protein 15B (One-twenty two protein 3) (HuOTT3) (RNA-binding motif protein 15B)","RBM15B OTT3","Homo sapiens (Human)",1
23893,F8WBC1,F8WBC1_HUMAN,unreviewed,"Putative RNA-binding protein Luc7-like 1",LUC7L,"Homo sapiens (Human)",1
23483,A6NIE6,RN3P2_HUMAN,reviewed,"Putative RRN3-like protein RRN3P2 (RNA polymerase I transcription factor homolog pseudogene 2)",RRN3P2,"Homo sapiens (Human)",1
18051,A6NIE9,PRS29_HUMAN,reviewed,"Putative serine protease 29 (EC 3.4.21.-) (Implantation serine proteinase 2-like protein) (ISP2-like protein)","PRSS29P ISP2","Homo sapiens (Human)",1
22568,P0C7V7,SC11B_HUMAN,reviewed,"Putative signal peptidase complex catalytic subunit SEC11B (EC 3.4.21.89) (SEC11 homolog B) (SEC11-like protein 2)","SEC11B SEC11L2 SPCS4B","Homo sapiens (Human)",1
20203,Q9H1C9,Q9H1C9_HUMAN,unreviewed,"Putative small GTP-binding protein (Rab1b)",0,"Homo sapiens (Human)",1
19122,A6NNN8,S38A8_HUMAN,reviewed,"Putative sodium-coupled neutral amino acid transporter 8 (Solute carrier family 38 member 8)",SLC38A8,"Homo sapiens (Human)",1
21475,P0C874,S31D3_HUMAN,reviewed,"Putative spermatogenesis-associated protein 31D3 (Protein FAM75D3)","SPATA31D3 FAM75D3","Homo sapiens (Human)",1
21434,A6NGW2,STRCL_HUMAN,reviewed,"Putative stereocilin-like protein (Stereocilin pseudogene 1)","STRCP1 STRCP","Homo sapiens (Human)",1
16922,A6NM43,TCPQL_HUMAN,reviewed,"Putative T-complex protein 1 subunit theta-like 1","CCT8L1P CCT8L1","Homo sapiens (Human)",1
22537,A6NLC8,YE016_HUMAN,reviewed,"Putative TAF11-like protein ENSP00000332601",0,"Homo sapiens (Human)",1
17834,P51864,TDGF3_HUMAN,reviewed,"Putative teratocarcinoma-derived growth factor 3 (Cripto-3 growth factor) (Epidermal growth factor-like cripto protein CR3) (Teratocarcinoma-derived growth factor 1 pseudogene 3)","TDGF1P3 CRIPTO3 TDGF2 TDGF3","Homo sapiens (Human)",1
22541,Q6P2S7,TTC41_HUMAN,reviewed,"Putative tetratricopeptide repeat protein 41 (TPR repeat protein 41) (Grp94-neighboring nucleotidase)","TTC41P GNN","Homo sapiens (Human)",1
20038,Q8IY50,S35F3_HUMAN,reviewed,"Putative thiamine transporter SLC35F3 (Solute carrier family 35 member F3)",SLC35F3,"Homo sapiens (Human)",1
19681,Q96M19,CL067_HUMAN,reviewed,"Putative transmembrane protein encoded by LINC00477","LINC00477 C12orf67","Homo sapiens (Human)",1
20426,C9JVW0,INAM1_HUMAN,reviewed,"Putative transmembrane protein INAFM1 (InaF-motif-containing protein 1) (Proline-rich protein 24)","INAFM1 PRR24","Homo sapiens (Human)",1
21431,A6NLI5,TR64C_HUMAN,reviewed,"Putative tripartite motif-containing protein 64C",TRIM64C,"Homo sapiens (Human)",1
24333,P0C5K6,CT18_HUMAN,reviewed,"Putative tumor antigen NA88-A (Cancer/testis antigen 18) (CT18)",VENTXP1,"Homo sapiens (Human)",1
20904,O75061,AUXI_HUMAN,reviewed,"Putative tyrosine-protein phosphatase auxilin (EC 3.1.3.48) (DnaJ homolog subfamily C member 6)","DNAJC6 KIAA0473","Homo sapiens (Human)",1
24561,H0YL09,U2Q2L_HUMAN,reviewed,"Putative ubiquitin-conjugating enzyme E2Q2-like protein",UBE2Q2L,"Homo sapiens (Human)",1
16844,Q7Z4P3,Q7Z4P3_HUMAN,unreviewed,"Putative uncharacterized protein",0,"Homo sapiens (Human)",1
17151,A4D110,A4D110_HUMAN,unreviewed,"Putative uncharacterized protein","LOC401309 tcag7.949","Homo sapiens (Human)",1
16857,Q99777,Q99777_HUMAN,unreviewed,"Putative uncharacterized protein (Fragment)",0,"Homo sapiens (Human)",1
17025,Q8TBT6,Q8TBT6_HUMAN,unreviewed,"Putative uncharacterized protein (Fragment)",0,"Homo sapiens (Human)",1
17026,Q8WTY5,Q8WTY5_HUMAN,unreviewed,"Putative uncharacterized protein (Fragment)",0,"Homo sapiens (Human)",1
18161,Q3C1W8,Q3C1W8_HUMAN,unreviewed,"Putative uncharacterized protein (Fragment)",0,"Homo sapiens (Human)",1
20251,O95896,O95896_HUMAN,unreviewed,"Putative uncharacterized protein (Fragment)",0,"Homo sapiens (Human)",1
20671,Q5W009,Q5W009_HUMAN,unreviewed,"Putative uncharacterized protein (RNA binding motif protein 17, isoform CRA_a) (cDNA, FLJ95864)","RBM17 hCG_24832","Homo sapiens (Human)",1
18391,Q9Y6Z5,AFAS1_HUMAN,reviewed,"Putative uncharacterized protein AFDN-AS1 (AFDN antisense RNA 1) (AFDN antisense gene protein 1) (Protein HGC6.4)","AFDN-AS1 C6orf124","Homo sapiens (Human)",1
22897,Q53S48,Q53S48_HUMAN,unreviewed,"Putative uncharacterized protein ALF (STON1-GTF2A1L readthrough)","ALF STON1-GTF2A1L","Homo sapiens (Human)",1
22626,Q6ZS72,CS035_HUMAN,reviewed,"Putative uncharacterized protein C19orf35",C19orf35,"Homo sapiens (Human)",1
22503,Q96BT1,CC049_HUMAN,reviewed,"Putative uncharacterized protein C3orf49",C3orf49,"Homo sapiens (Human)",1
25101,Q8N813,CC056_HUMAN,reviewed,"Putative uncharacterized protein C3orf56",C3orf56,"Homo sapiens (Human)",1
23679,Q4VX62,CF099_HUMAN,reviewed,"Putative uncharacterized protein C6orf99",C6orf99,"Homo sapiens (Human)",1
23450,Q96CB5,CH044_HUMAN,reviewed,"Putative uncharacterized protein C8orf44",C8orf44,"Homo sapiens (Human)",1
25105,Q8NAJ2,CI106_HUMAN,reviewed,"Putative uncharacterized protein C9orf106",C9orf106,"Homo sapiens (Human)",1
24614,Q8N4C0,CI062_HUMAN,reviewed,"Putative uncharacterized protein C9orf62",C9orf62,"Homo sapiens (Human)",1
24216,P0C864,DANCR_HUMAN,reviewed,"Putative uncharacterized protein DANCR (Anti-differentiation ncRNA protein) (Differentiation antagonizing non-protein coding RNA) (Small nucleolar RNA host gene protein 13)","DANCR ANCR KIAA0114 SNHG13","Homo sapiens (Human)",1
17558,Q658P8,Q658P8_HUMAN,unreviewed,"Putative uncharacterized protein DKFZp313N0632 (Fragment)",DKFZp313N0632,"Homo sapiens (Human)",1
17697,Q9NT91,Q9NT91_HUMAN,unreviewed,"Putative uncharacterized protein DKFZp434E1722 (Fragment)",DKFZp434E1722,"Homo sapiens (Human)",1
18795,Q8NDH5,Q8NDH5_HUMAN,unreviewed,"Putative uncharacterized protein DKFZp434F1319 (Fragment)",DKFZp434F1319,"Homo sapiens (Human)",1
19500,Q5JPA6,Q5JPA6_HUMAN,unreviewed,"Putative uncharacterized protein DKFZp434L081",DKFZp434L081,"Homo sapiens (Human)",1
17293,Q9H059,Q9H059_HUMAN,unreviewed,"Putative uncharacterized protein DKFZp586G1024 (Fragment)",DKFZp586G1024,"Homo sapiens (Human)",1
22256,Q9UG64,Q9UG64_HUMAN,unreviewed,"Putative uncharacterized protein DKFZp586I1223 (Fragment)",DKFZp586I1223,"Homo sapiens (Human)",1
22937,Q9UF24,Q9UF24_HUMAN,unreviewed,"Putative uncharacterized protein DKFZp586K0821 (Fragment)",DKFZp586K0821,"Homo sapiens (Human)",1
17871,Q7Z3N1,Q7Z3N1_HUMAN,unreviewed,"Putative uncharacterized protein DKFZp686A04130",DKFZp686A04130,"Homo sapiens (Human)",1
18916,Q6MZG5,Q6MZG5_HUMAN,unreviewed,"Putative uncharacterized protein DKFZp686D06190",DKFZp686D06190,"Homo sapiens (Human)",1
18271,Q5CZI2,Q5CZI2_HUMAN,unreviewed,"Putative uncharacterized protein DKFZp686D12108 (Fragment)",DKFZp686D12108,"Homo sapiens (Human)",1
20247,Q5GMF8,Q5GMF8_HUMAN,unreviewed,"Putative uncharacterized protein DKFZp686D123",DKFZp686D123,"Homo sapiens (Human)",1
16714,Q68E04,Q68E04_HUMAN,unreviewed,"Putative uncharacterized protein DKFZp686F01113 (Fragment)",DKFZp686F01113,"Homo sapiens (Human)",1
16915,Q7Z2Y6,Q7Z2Y6_HUMAN,unreviewed,"Putative uncharacterized protein DKFZp686G24255 (Fragment)",DKFZp686G24255,"Homo sapiens (Human)",1
17559,Q68CT9,Q68CT9_HUMAN,unreviewed,"Putative uncharacterized protein DKFZp686H039",DKFZp686H039,"Homo sapiens (Human)",1
17263,Q68EA4,Q68EA4_HUMAN,unreviewed,"Putative uncharacterized protein DKFZp686I06222 (Fragment)",DKFZp686I06222,"Homo sapiens (Human)",1
22227,Q6MZK8,Q6MZK8_HUMAN,unreviewed,"Putative uncharacterized protein DKFZp686K06110",DKFZp686K06110,"Homo sapiens (Human)",1
22238,Q5HYG7,Q5HYG7_HUMAN,unreviewed,"Putative uncharacterized protein DKFZp686M24262",DKFZp686M24262,"Homo sapiens (Human)",1
17740,Q6N0A8,Q6N0A8_HUMAN,unreviewed,"Putative uncharacterized protein DKFZp686O07189",DKFZp686O07189,"Homo sapiens (Human)",1
18057,Q6N041,Q6N041_HUMAN,unreviewed,"Putative uncharacterized protein DKFZp686O16217 (Fragment)",DKFZp686O16217,"Homo sapiens (Human)",1
16905,Q63HM4,Q63HM4_HUMAN,unreviewed,"Putative uncharacterized protein DKFZp686P18250",DKFZp686P18250,"Homo sapiens (Human)",1
17862,Q68CW5,Q68CW5_HUMAN,unreviewed,"Putative uncharacterized protein DKFZp762A1314 (Fragment)",DKFZp762A1314,"Homo sapiens (Human)",1
17955,Q7Z6E5,Q7Z6E5_HUMAN,unreviewed,"Putative uncharacterized protein DKFZp779G2251 (Fragment)",DKFZp779G2251,"Homo sapiens (Human)",1
17077,Q68DX5,Q68DX5_HUMAN,unreviewed,"Putative uncharacterized protein DKFZp781H1715 (Fragment)",DKFZp781H1715,"Homo sapiens (Human)",1
17549,Q5H9Q3,Q5H9Q3_HUMAN,unreviewed,"Putative uncharacterized protein DKFZp781J13156",DKFZp781J13156,"Homo sapiens (Human)",1
16900,Q5CZ94,Q5CZ94_HUMAN,unreviewed,"Putative uncharacterized protein DKFZp781M0386",DKFZp781M0386,"Homo sapiens (Human)",1
23036,A6NH13,DAS1_HUMAN,reviewed,"Putative uncharacterized protein DNAJC9-AS1 (DNAJC9 antisense RNA 1) (DNAJC9 antisense gene protein 1)","DNAJC9-AS1 C10orf103","Homo sapiens (Human)",1
18771,Q53TA7,Q53TA7_HUMAN,unreviewed,"Putative uncharacterized protein EFEMP1 (Fragment)",EFEMP1,"Homo sapiens (Human)",1
25050,Q8N9R0,CP081_HUMAN,reviewed,"Putative uncharacterized protein encoded by LINC00304","LINC00304 C16orf81 NCRNA00304","Homo sapiens (Human)",1
18370,Q8N7U9,CQ054_HUMAN,reviewed,"Putative uncharacterized protein encoded by LINC00469","LINC00469 C17orf54","Homo sapiens (Human)",1
23936,Q9BZP3,CR002_HUMAN,reviewed,"Putative uncharacterized protein encoded by LINC00470","LINC00470 C18orf2","Homo sapiens (Human)",1
22557,Q86TU6,CN070_HUMAN,reviewed,"Putative uncharacterized protein encoded by LINC00523","LINC00523 C14orf70","Homo sapiens (Human)",1
19806,Q96FQ7,CR018_HUMAN,reviewed,"Putative uncharacterized protein encoded by LINC00526","LINC00526 C18orf18","Homo sapiens (Human)",1
24595,P0C842,CJ052_HUMAN,reviewed,"Putative uncharacterized protein encoded by LINC00614","LINC00614 C10orf52","Homo sapiens (Human)",1
24239,Q8NAE3,CA180_HUMAN,reviewed,"Putative uncharacterized protein encoded by LINC01555","LINC01555 C1orf180","Homo sapiens (Human)",1
19464,Q8N8E1,MAAS1_HUMAN,reviewed,"Putative uncharacterized protein encoded by MAPKAPK5-AS1 (MAPKAPK5 antisense RNA 1) (MAPKAPK5 antisense gene protein 1)","MAPKAPK5-AS1 C12orf47","Homo sapiens (Human)",1
25064,Q9BWJ2,RHAS1_HUMAN,reviewed,"Putative uncharacterized protein encoded by RHPN1-AS1 (RHPN1 antisense RNA 1) (RHPN1 antisense gene protein 1)","RHPN1-AS1 C8orf51","Homo sapiens (Human)",1
18201,Q9H8V8,YD018_HUMAN,reviewed,"Putative uncharacterized protein FLJ13197",0,"Homo sapiens (Human)",1
20889,Q8N976,YG039_HUMAN,reviewed,"Putative uncharacterized protein FLJ38264",0,"Homo sapiens (Human)",1
19052,Q96S04,Q96S04_HUMAN,unreviewed,"Putative uncharacterized protein gs78",gs78,"Homo sapiens (Human)",1
16955,Q75MX6,Q75MX6_HUMAN,unreviewed,"Putative uncharacterized protein GTF2IRD1 (Fragment)",GTF2IRD1,"Homo sapiens (Human)",1
17137,Q53QD5,Q53QD5_HUMAN,unreviewed,"Putative uncharacterized protein HSPD1 (Fragment)",HSPD1,"Homo sapiens (Human)",1
23477,Q86SY8,KTAS1_HUMAN,reviewed,"Putative uncharacterized protein KTN1-AS1 (KTN1 antisense RNA 1) (KTN1 antisense gene protein 1)","KTN1-AS1 C14orf33","Homo sapiens (Human)",1
17944,Q4W5K9,Q4W5K9_HUMAN,unreviewed,"Putative uncharacterized protein LIM (Fragment)",LIM,"Homo sapiens (Human)",1
23838,Q0VG73,YC023_HUMAN,reviewed,"Putative uncharacterized protein LOC152225",0,"Homo sapiens (Human)",1
19465,Q6ZTK2,YP015_HUMAN,reviewed,"Putative uncharacterized protein LOC400499",0,"Homo sapiens (Human)",1
23695,Q8N1F1,C1AS1_HUMAN,reviewed,"Putative uncharacterized protein LRRC75A-AS1, mitochondrial (FAM211A antisense RNA 1) (LRRC75A antisense RNA 1) (Putative uncharacterized protein FAM211A-AS1, mitochondrial)","LRRC75A-AS1 C17orf45 C17orf76-AS1 FAM211A-AS1 NCRNA00188","Homo sapiens (Human)",1
19059,Q96IR3,YV007_HUMAN,reviewed,"Putative uncharacterized protein MGC15705",0,"Homo sapiens (Human)",1
17540,Q53QF1,Q53QF1_HUMAN,unreviewed,"Putative uncharacterized protein MGC26733 (Fragment)",MGC26733,"Homo sapiens (Human)",1
17971,Q3LIC9,Q3LIC9_HUMAN,unreviewed,"Putative uncharacterized protein Nbla10236 (Fragment)",Nbla10236,"Homo sapiens (Human)",1
17249,Q53QE8,Q53QE8_HUMAN,unreviewed,"Putative uncharacterized protein NDUFA10 (Fragment)",NDUFA10,"Homo sapiens (Human)",1
17541,Q53R49,Q53R49_HUMAN,unreviewed,"Putative uncharacterized protein PDK1 (Fragment)",PDK1,"Homo sapiens (Human)",1
16852,Q8WYU9,Q8WYU9_HUMAN,unreviewed,"Putative uncharacterized protein pp5715",pp5715,"Homo sapiens (Human)",1
23458,A1A4F0,CC055_HUMAN,reviewed,"Putative uncharacterized protein PQLC2L (PQ-loop repeat-containing protein 2-like)","PQLC2L C3orf55","Homo sapiens (Human)",1
23480,Q9UHU1,YK039_HUMAN,reviewed,"Putative uncharacterized protein PRO1716",PRO1716,"Homo sapiens (Human)",1
25027,Q5TG53,SEAS1_HUMAN,reviewed,"Putative uncharacterized protein SERTAD4-AS1 (SERTAD4 antisense RNA 1) (SERTAD4 antisense gene protein 1)","SERTAD4-AS1 C1orf133","Homo sapiens (Human)",1
17278,Q75M55,Q75M55_HUMAN,unreviewed,"Putative uncharacterized protein SLC25A13 (Fragment)",SLC25A13,"Homo sapiens (Human)",1
18930,Q4W5A5,Q4W5A5_HUMAN,unreviewed,"Putative uncharacterized protein SLC7A11 (Fragment)",SLC7A11,"Homo sapiens (Human)",1
18820,Q4W5N0,Q4W5N0_HUMAN,unreviewed,"Putative uncharacterized protein SLIT2 (Fragment)",SLIT2,"Homo sapiens (Human)",1
25034,Q6UXU0,YS002_HUMAN,reviewed,"Putative uncharacterized protein UNQ9165/PRO28630",UNQ9165/PRO28630,"Homo sapiens (Human)",1
19466,Q5PR19,YI024_HUMAN,reviewed,"Putative UPF0607 protein LOC392364",0,"Homo sapiens (Human)",1
25032,Q6Q795,VBPC1_HUMAN,reviewed,"Putative viral protein-binding protein C1",0,"Homo sapiens (Human)",1
18437,A8MUZ8,Z705G_HUMAN,reviewed,"Putative zinc finger protein 705G",ZNF705G,"Homo sapiens (Human)",1
17069,Q2TAK8,MUM1_HUMAN,reviewed,"PWWP domain-containing protein MUM1 (Mutated melanoma-associated antigen 1) (MUM-1) (Protein expandere)","MUM1 EXPAND1","Homo sapiens (Human)",1
18995,Q5TGL8,PXDC1_HUMAN,reviewed,"PX domain-containing protein 1","PXDC1 C6orf145","Homo sapiens (Human)",1
24830,H0YGU0,H0YGU0_HUMAN,unreviewed,"Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1 (Fragment)",PYROXD1,"Homo sapiens (Human)",1
20847,E5RFZ4,E5RFZ4_HUMAN,unreviewed,"Pyridoxal phosphate-binding protein",PLPBP,"Homo sapiens (Human)",1
22042,E5RFX7,E5RFX7_HUMAN,unreviewed,"Pyridoxal phosphate-binding protein (Fragment)",PLPBP,"Homo sapiens (Human)",1
22235,H3BND4,H3BND4_HUMAN,unreviewed,"Pyridoxal-dependent decarboxylase domain-containing protein 1",PDXDC1,"Homo sapiens (Human)",1
21861,J3QQV6,J3QQV6_HUMAN,unreviewed,"Pyridoxine-5'-phosphate oxidase (Fragment)",PNPO,"Homo sapiens (Human)",1
19467,O15553,MEFV_HUMAN,reviewed,"Pyrin (Marenostrin)","MEFV MEF TRIM20","Homo sapiens (Human)",1
17101,Q96P65,QRFPR_HUMAN,reviewed,"Pyroglutamylated RFamide peptide receptor (AQ27) (G-protein coupled receptor 103) (Orexigenic neuropeptide QRFP receptor) (SP9155)","QRFPR GPR103","Homo sapiens (Human)",1
19610,D3DWK4,D3DWK4_HUMAN,unreviewed,"Pyrroline-5-carboxylate reductase (EC 1.5.1.2)","PYCRL hCG_32057","Homo sapiens (Human)",1
22844,A0A0A0MQS1,A0A0A0MQS1_HUMAN,unreviewed,"Pyrroline-5-carboxylate reductase (EC 1.5.1.2)",PYCR3,"Homo sapiens (Human)",1
21029,E2QRB3,E2QRB3_HUMAN,unreviewed,"Pyrroline-5-carboxylate reductase 1, isoform CRA_c (Pyrroline-5-carboxylate reductase 1, mitochondrial)","PYCR1 hCG_38803","Homo sapiens (Human)",1
22004,E9PRE7,E9PRE7_HUMAN,unreviewed,"Pyruvate carboxylase, mitochondrial",PC,"Homo sapiens (Human)",1
17259,Q5JPU1,Q5JPU1_HUMAN,unreviewed,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial (Fragment)",PDHA1,"Homo sapiens (Human)",1
19899,F8WF02,F8WF02_HUMAN,unreviewed,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",PDHB,"Homo sapiens (Human)",1
20252,A0A024R609,A0A024R609_HUMAN,unreviewed,"Pyruvate kinase (EC 2.7.1.40)","PKM2 hCG_2005199","Homo sapiens (Human)",1
17531,Q16715,Q16715_HUMAN,unreviewed,"Pyruvate kinase (EC 2.7.1.40) (Fragment)",0,"Homo sapiens (Human)",1
17145,Q9UKK4,Q9UKK4_HUMAN,unreviewed,"Pyruvate kinase M2 (Fragment)",0,"Homo sapiens (Human)",1
20616,B7Z472,QTRT2_HUMAN,reviewed,"Queuine tRNA-ribosyltransferase accessory subunit 2 (Queuine tRNA-ribosyltransferase domain-containing protein 1)","QTRT2 QTRTD1","Homo sapiens (Human)",1
22263,B2RAR3,B2RAR3_HUMAN,unreviewed,"Queuine tRNA-ribosyltransferase catalytic subunit 1 (EC 2.4.2.29) (Guanine insertion enzyme) (tRNA-guanine transglycosylase)",QTRT1,"Homo sapiens (Human)",1
24325,K7EPI1,K7EPI1_HUMAN,unreviewed,"Queuine tRNA-ribosyltransferase catalytic subunit 1 (Fragment)",QTRT1,"Homo sapiens (Human)",1
23049,Q5T6V6,Q5T6V6_HUMAN,unreviewed,"Queuosine salvage protein",C9orf64,"Homo sapiens (Human)",1
17122,A6NN60,QOR_HUMAN,reviewed,"Quinone oxidoreductase (EC 1.6.5.5) (NADPH:quinone reductase) (Zeta-crystallin)",CRYZ,"Homo sapiens (Human)",1
20855,A6NP24,A6NP24_HUMAN,unreviewed,"Quinone oxidoreductase (Fragment)",CRYZ,"Homo sapiens (Human)",1
19843,A6NHJ8,A6NHJ8_HUMAN,unreviewed,"Quinone oxidoreductase-like protein 1",CRYZL1,"Homo sapiens (Human)",1
18739,Q9Y3T6,R3HC1_HUMAN,reviewed,"R3H and coiled-coil domain-containing protein 1",R3HCC1,"Homo sapiens (Human)",1
19852,I3L1Q0,I3L1Q0_HUMAN,unreviewed,"Rab effector Noc2 (Fragment)",RPH3AL,"Homo sapiens (Human)",1
20359,B4DHX4,B4DHX4_HUMAN,unreviewed,"Rab GDP dissociation inhibitor",0,"Homo sapiens (Human)",1
18948,Q7Z2G6,GDIA_HUMAN,reviewed,"Rab GDP dissociation inhibitor alpha (Rab GDI alpha) (Guanosine diphosphate dissociation inhibitor 1) (GDI-1) (Oligophrenin-2) (Protein XAP-4)","GDI1 GDIL OPHN2 RABGDIA XAP4","Homo sapiens (Human)",1
23004,B7ZAP0,RBG10_HUMAN,reviewed,"Rab GTPase-activating protein 1-like, isoform 10","RABGAP1L HHL KIAA0471","Homo sapiens (Human)",1
21554,A0A0A0MSJ3,A0A0A0MSJ3_HUMAN,unreviewed,"RAB guanine nucleotide exchange factor (GEF) 1, isoform CRA_c (Rab5 GDP/GTP exchange factor)","RABGEF1 hCG_39434","Homo sapiens (Human)",1
18676,Q96QF0,RAB3I_HUMAN,reviewed,"Rab-3A-interacting protein (Rab3A-interacting protein) (Rabin-3) (SSX2-interacting protein)","RAB3IP RABIN8","Homo sapiens (Human)",1
21549,F8WAX9,F8WAX9_HUMAN,unreviewed,"Rab-like protein 3",RABL3,"Homo sapiens (Human)",1
21069,F2Z2T0,F2Z2T0_HUMAN,unreviewed,"Rab-like protein 6",RABL6,"Homo sapiens (Human)",1
17877,Q86YS3,RFIP4_HUMAN,reviewed,"Rab11 family-interacting protein 4 (FIP4-Rab11) (Rab11-FIP4) (Arfophilin-2)","RAB11FIP4 ARFO2 KIAA1821","Homo sapiens (Human)",1
22506,Q6BDI9,REP15_HUMAN,reviewed,"Rab15 effector protein",REP15,"Homo sapiens (Human)",1
17421,A8MUU7,A8MUU7_HUMAN,unreviewed,"RAB37, member RAS oncogene family, isoform CRA_b (cDNA FLJ30284 fis, clone BRACE2002812, highly similar to Homo sapiens RAB37, member RAS oncogene family (RAB37), transcript variant 3, mRNA)","RAB37 hCG_1986458","Homo sapiens (Human)",1
